,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
1088,Pendik,3500.0,100.0,21-25 arası,3,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1089,Ümraniye,5000.0,80.0,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
1090,Ataşehir,7500.0,110.0,21-25 arası,4,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
1091,Üsküdar,9400.0,125.0,0-5 arası,6,7,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1092,Maltepe,6250.0,115.0,31 ve üzeri,2,4,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1093,Ataşehir,5000.0,36.0,5-10 arası,17,31,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,750 - 1000,Hayır
1094,Üsküdar,3000.0,65.0,16-20 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1095,Sancaktepe,2000.0,110.0,11-15 arası,0,6,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1096,Sultanbeyli,6100.0,120.0,0-5 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,2.0,Hayır,0 - 150,Hayır
1097,Beykoz,15000.0,125.0,11-15 arası,2,4,Fancoil Ünitesi,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1098,Kartal,5700.0,110.0,26-30 arası,1,6,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1099,Maltepe,7000.0,110.0,21-25 arası,8,8,Merkezi,1,Var,Hayır,Evet,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1100,Kartal,7000.0,126.0,0-5 arası,2,10,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1101,Sultanbeyli,3600.0,98.0,0-5 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1102,Kartal,6000.0,48.0,11-15 arası,1,12,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
1103,Sultanbeyli,5000.0,140.0,0-5 arası,1,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1104,Kadıköy,15500.0,200.0,31 ve üzeri,3,4,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,150 - 300,Hayır
1105,Sancaktepe,5000.0,88.0,5-10 arası,5,9,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1106,Sultanbeyli,4100.0,140.0,0-5 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,0 - 150,Hayır
1107,Maltepe,7100.0,100.0,5-10 arası,5,10,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1108,Sultanbeyli,3900.0,90.0,0-5 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
1109,Kadıköy,15000.0,90.0,0-5 arası,1,9,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Evet
1110,Şile,13000.0,75.0,16-20 arası,0,2,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Evet,0 - 150,Hayır
1111,Kartal,8000.0,90.0,0-5 arası,18,26,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
1112,Kadıköy,12500.0,75.0,5-10 arası,3,10,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1113,Üsküdar,12000.0,110.0,21-25 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1114,Kadıköy,14000.0,100.0,0-5 arası,12,13,Merkezi (Pay Ölçer),2,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1115,Sultanbeyli,5000.0,170.0,0-5 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,0 - 150,Hayır
1116,Çekmeköy,5750.0,65.0,0-5 arası,7,9,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,150 - 300,Hayır
1117,Sancaktepe,6000.0,225.0,0-5 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1118,Sancaktepe,3500.0,120.0,16-20 arası,4,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1119,Üsküdar,4200.0,90.0,31 ve üzeri,0,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1120,Maltepe,5600.0,70.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,1.5,1.0,Hayır,0 - 150,Hayır
1121,Kartal,20000.0,110.0,0-5 arası,21,31,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
1122,Ataşehir,15000.0,89.0,0-5 arası,10,19,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.5,1.0,Hayır,500 - 750,Hayır
1123,Pendik,7100.0,105.0,0-5 arası,9,10,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1124,Tuzla,6500.0,120.0,21-25 arası,3,6,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1125,Sultanbeyli,4200.0,110.0,11-15 arası,1,5,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1126,Ümraniye,12500.0,134.0,0-5 arası,8,29,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
1127,Pendik,5500.0,150.0,11-15 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
1128,Ataşehir,11000.0,69.0,5-10 arası,31,31,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
1129,Ümraniye,4500.0,80.0,0-5 arası,0,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1130,Ümraniye,6000.0,62.0,5-10 arası,0,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1131,Ümraniye,7500.0,175.0,11-15 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,5.0,1.0,Hayır,0 - 150,Hayır
1132,Şile,8000.0,80.0,0-5 arası,2,2,Soba,1,Yok,Evet,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1133,Ataşehir,12000.0,120.0,5-10 arası,3,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1134,Kadıköy,6000.0,35.0,26-30 arası,1,3,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,0 - 150,Hayır
1135,Kartal,12000.0,110.0,0-5 arası,22,27,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
1136,Şile,10000.0,85.0,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,Evet,Sahibinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1137,Üsküdar,13500.0,165.0,0-5 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1138,Sancaktepe,5000.0,66.0,0-5 arası,2,12,Yerden Isıtma,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
1139,Ataşehir,3200.0,90.0,11-15 arası,0,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1140,Tuzla,2650.0,100.0,21-25 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1141,Beykoz,18000.0,216.0,21-25 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,4.0,1.0,Evet,500 - 750,Hayır
1142,Kadıköy,15000.0,110.0,0-5 arası,9,14,Merkezi (Pay Ölçer),2,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1143,Kadıköy,8000.0,60.0,31 ve üzeri,4,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Evet
1144,Ataşehir,8000.0,130.0,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1145,Sultanbeyli,5750.0,130.0,5-10 arası,5,7,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1146,Şile,20000.0,80.0,11-15 arası,0,4,Doğalgaz Sobası,1,Var,Evet,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1147,Maltepe,4500.0,85.0,5-10 arası,0,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1148,Kartal,6250.0,97.0,0-5 arası,2,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,750 - 1000,Hayır
1149,Ataşehir,18000.0,150.0,11-15 arası,7,8,Doğalgaz (Kombi),2,Var,Evet,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
1150,Üsküdar,13500.0,160.0,0-5 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1151,Ataşehir,4500.0,95.0,21-25 arası,1,4,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1152,Sultanbeyli,4200.0,110.0,0-5 arası,3,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1153,Ümraniye,6000.0,50.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1154,Pendik,4250.0,67.0,5-10 arası,2,9,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
1155,Pendik,10000.0,95.0,0-5 arası,5,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1156,Üsküdar,7250.0,95.0,26-30 arası,5,5,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1157,Ümraniye,4900.0,55.0,11-15 arası,7,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1158,Kartal,5000.0,59.0,5-10 arası,26,31,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,500 - 750,Hayır
1159,Maltepe,4500.0,120.0,26-30 arası,0,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1160,Ümraniye,10000.0,160.0,16-20 arası,1,3,Doğalgaz (Kombi),2,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1161,Sultanbeyli,4000.0,100.0,0-5 arası,2,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1162,Maltepe,7500.0,90.0,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1163,Ümraniye,15310.0,66.0,5-10 arası,17,31,Merkezi,1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1164,Üsküdar,16000.0,110.0,0-5 arası,4,9,Merkezi,2,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1165,Tuzla,9000.0,90.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1166,Ataşehir,16000.0,110.0,5-10 arası,2,31,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1167,Ataşehir,15000.0,160.0,5-10 arası,12,31,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1168,Beykoz,8000.0,200.0,21-25 arası,4,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,5.0,1.0,Hayır,300 - 500,Evet
1169,Sultanbeyli,4750.0,85.0,0-5 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1170,Tuzla,5750.0,85.0,5-10 arası,11,12,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1171,Ümraniye,5500.0,145.0,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1172,Ataşehir,9550.0,160.0,16-20 arası,7,7,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.5,1.0,Hayır,0 - 150,Hayır
1173,Çekmeköy,4800.0,95.0,0-5 arası,1,10,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1174,Maltepe,10000.0,140.0,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1175,Ümraniye,10500.0,160.0,21-25 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
1176,Üsküdar,14000.0,145.0,0-5 arası,4,7,Doğalgaz (Kombi),2,Var,Hayır,Hayır,İnşaat Firmasından,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1177,Ümraniye,9250.0,108.0,16-20 arası,11,17,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,750 - 1000,Hayır
1178,Beykoz,4000.0,130.0,26-30 arası,0,2,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1179,Kadıköy,8000.0,120.0,31 ve üzeri,0,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1180,Kadıköy,15000.0,90.0,5-10 arası,15,17,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1181,Çekmeköy,4150.0,65.0,0-5 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
1182,Çekmeköy,7500.0,180.0,11-15 arası,3,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,4.0,3.0,Hayır,0 - 150,Hayır
1183,Pendik,11500.0,220.0,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Anadolu,5.0,2.0,Hayır,0 - 150,Hayır
1184,Şile,10000.0,90.0,5-10 arası,3,4,Yerden Isıtma,1,Yok,Evet,Evet,Sahibinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
1185,Kartal,7500.0,120.0,0-5 arası,5,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1186,Ataşehir,5200.0,120.0,16-20 arası,1,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1187,Kadıköy,14500.0,105.0,5-10 arası,8,9,Merkezi (Pay Ölçer),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1188,Beykoz,11000.0,150.0,26-30 arası,3,3,Doğalgaz (Kombi),2,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,0 - 150,Evet
1189,Sancaktepe,4200.0,85.0,5-10 arası,3,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1190,Şile,5000.0,50.0,0-5 arası,1,2,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1191,Üsküdar,8500.0,170.0,26-30 arası,3,3,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1192,Beykoz,20000.0,100.0,11-15 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1193,Tuzla,4100.0,64.0,0-5 arası,5,7,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,150 - 300,Hayır
1194,Şile,9000.0,80.0,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1195,Pendik,10000.0,103.0,0-5 arası,1,10,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
1196,Sultanbeyli,5000.0,65.0,0-5 arası,4,6,Merkezi,1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1197,Kadıköy,10000.0,67.0,0-5 arası,13,24,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,750 - 1000,Hayır
1198,Maltepe,12500.0,150.0,5-10 arası,7,12,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
1199,Sancaktepe,7600.0,94.0,5-10 arası,4,11,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
1200,Sultanbeyli,4000.0,85.0,0-5 arası,1,8,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1201,Pendik,7000.0,130.0,5-10 arası,3,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1202,Şile,10000.0,95.0,21-25 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
1203,Kartal,10000.0,98.0,0-5 arası,5,17,Merkezi (Pay Ölçer),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,750 - 1000,Hayır
1204,Pendik,5500.0,55.0,5-10 arası,1,9,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Evet
1205,Pendik,5250.0,65.0,16-20 arası,7,9,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,150 - 300,Hayır
1206,Kartal,16750.0,200.0,26-30 arası,7,7,Doğalgaz (Kombi),3,Var,Hayır,Hayır,Sahibinden,Anadolu,4.0,1.0,Hayır,0 - 150,Evet
1207,Çekmeköy,15500.0,176.0,0-5 arası,2,2,Yerden Isıtma,1,Var,Hayır,Evet,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1208,Çekmeköy,4500.0,140.0,5-10 arası,0,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Evet,0 - 150,Hayır
1209,Maltepe,12000.0,74.0,5-10 arası,17,26,Yerden Isıtma,1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
1210,Ümraniye,6000.0,90.0,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1211,Ümraniye,4250.0,75.0,21-25 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1212,Sultanbeyli,6750.0,140.0,5-10 arası,7,9,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.5,1.0,Hayır,500 - 750,Hayır
1213,Maltepe,8600.0,135.0,11-15 arası,4,6,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1214,Pendik,8000.0,110.0,5-10 arası,2,9,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Sahibinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
1215,Kadıköy,11750.0,130.0,0-5 arası,7,7,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1216,Ümraniye,8500.0,95.0,0-5 arası,3,15,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
1217,Ümraniye,8750.0,160.0,0-5 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,İnşaat Firmasından,Anadolu,3.0,2.0,Evet,0 - 150,Hayır
1218,Kadıköy,9000.0,140.0,31 ve üzeri,3,8,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
1219,Maltepe,9000.0,190.0,26-30 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,2.0,Hayır,0 - 150,Hayır
1220,Ataşehir,12500.0,117.0,5-10 arası,31,31,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1221,Maltepe,4000.0,60.0,11-15 arası,5,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
1222,Şile,6250.0,110.0,26-30 arası,0,2,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1223,Beykoz,2650.0,95.0,31 ve üzeri,5,5,Yok,1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
1224,Pendik,6000.0,135.0,31 ve üzeri,2,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1225,Pendik,7000.0,105.0,0-5 arası,4,6,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
1226,Ümraniye,17750.0,155.0,0-5 arası,0,6,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
1227,Ümraniye,11500.0,138.0,5-10 arası,13,14,Doğalgaz (Kombi),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
1228,Kadıköy,19000.0,170.0,26-30 arası,9,11,Merkezi,2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
1229,Kartal,8500.0,150.0,21-25 arası,6,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
