,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
31,Maltepe,10000.0,60.0,0-5 arası,10,25,Yerden Isıtma,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
32,Kartal,5500.0,89.0,0-5 arası,4,16,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Sahibinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
33,Ataşehir,18900.0,194.0,11-15 arası,19,22,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
34,Tuzla,3500.0,50.0,5-10 arası,7,8,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,500 - 750,Hayır
35,Pendik,3000.0,95.0,11-15 arası,2,4,Doğalgaz (Kombi),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
36,Tuzla,3500.0,85.0,11-15 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,750 - 1000,Hayır
37,Maltepe,8900.0,140.0,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
38,Sultanbeyli,13500.0,329.0,5-10 arası,3,7,Merkezi (Pay Ölçer),2,Var,Evet,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
39,Maltepe,4750.0,40.0,5-10 arası,6,10,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Sahibinden,Anadolu,1.0,0.0,Hayır,300 - 500,Hayır
40,Sancaktepe,6000.0,84.0,0-5 arası,6,11,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Sahibinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
41,Kartal,11000.0,120.0,0-5 arası,12,26,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.5,1.0,Hayır,750 - 1000,Hayır
42,Ümraniye,7500.0,80.0,0-5 arası,3,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
43,Pendik,18000.0,145.0,0-5 arası,0,5,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.5,1.0,Hayır,500 - 750,Hayır
44,Ümraniye,5500.0,135.0,21-25 arası,5,9,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
45,Üsküdar,14000.0,165.0,31 ve üzeri,1,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,300 - 500,Hayır
46,Maltepe,5000.0,100.0,5-10 arası,0,5,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
47,Ataşehir,15000.0,117.0,5-10 arası,14,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,750 - 1000,Hayır
48,Tuzla,3450.0,120.0,16-20 arası,0,2,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
49,Pendik,6000.0,70.0,5-10 arası,4,7,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,150 - 300,Hayır
50,Maltepe,8000.0,100.0,26-30 arası,7,7,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
51,Maltepe,8000.0,90.0,0-5 arası,2,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
52,Kadıköy,5000.0,125.0,5-10 arası,3,6,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
53,Tuzla,4750.0,125.0,5-10 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
54,Kadıköy,15000.0,102.0,0-5 arası,11,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
55,Maltepe,9000.0,60.0,0-5 arası,16,24,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
56,Kadıköy,9000.0,90.0,31 ve üzeri,1,4,Doğalgaz Sobası,1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
57,Kartal,8500.0,135.0,21-25 arası,8,11,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
58,Ataşehir,16000.0,190.0,16-20 arası,0,11,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,300 - 500,Hayır
59,Ümraniye,10000.0,110.0,0-5 arası,3,7,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
60,Üsküdar,5250.0,60.0,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
61,Sancaktepe,7000.0,96.0,0-5 arası,10,11,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
62,Kartal,6650.0,75.0,11-15 arası,2,12,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
63,Ataşehir,7500.0,62.0,16-20 arası,0,9,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
64,Kadıköy,12000.0,60.0,5-10 arası,8,23,Merkezi,1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
65,Üsküdar,6850.0,110.0,16-20 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
66,Kadıköy,16000.0,125.0,31 ve üzeri,4,6,Merkezi,2,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,750 - 1000,Hayır
67,Maltepe,7250.0,67.0,5-10 arası,5,11,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,750 - 1000,Hayır
68,Maltepe,5000.0,110.0,5-10 arası,0,6,Doğalgaz (Kombi),2,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
